category,taste_level,service_level,name,level,price,env_level,lon,comments,shop_id,address,lat,tags,open_time
深圳餐厅|西丽|川菜|川菜/家常菜,8.7,8.6,签禧串串香火锅,准五星商户,37,8.4,113.948739,42条评论,69676955,西丽街道同沙路26栋1楼10号商铺(老船长音乐烤吧斜对面),22.584783,有萌宠(4)|菜品不错(3)|味道赞(13)|服务热情(8)|火锅(6)|午餐(5),午市、晚市 10:00-23:00 周一至周日
深圳餐厅|蛇口|火锅,8.9,8.5,常润椰子鸡(望海店),准五星商户,104,8.7,113.914078,1190条评论,5182401,蛇口工业一路南海酒店入口处旁边,22.478728,回头客(94)|有萌宠(4)|肉类好(36)|味道赞(182)|分量足(11)|环境优雅(119)|菜品不错(16)|停车方便(24)|服务热情(109)|性价比高(32),11:00——21:30
深圳餐厅|蛇口|火锅|四川火锅,8.5,8.4,洞子张老匠火锅(蛇口店),准五星商户,96,8.7,113.927024,1306条评论,19092118,蛇口新街152号白云路与蛇口新街交汇处(蛇口大厦对面，大铲宾馆),22.488998,回头客(80)|上菜快(3)|饮品赞(12)|味道赞(166)|菜品不错(24)|环境优雅(60)|服务热情(133)|性价比高(41)|停车方便(5),11:00-02:00
深圳餐厅|海岸城|火锅,7.8,8.7,沸点 Boiling Point(海岸城门店),四星商户,78,8.3,113.93655,710条评论,32472597,文心五路33号海岸城西座2楼228号,22.51864,回头客(21)|上菜快(5)|约会圣地(3)|主食赞(10)|饮品赞(39)|分量足(28)|味道赞(102)|菜品不错(20)|服务热情(112)|环境优雅(27),沸点臭臭锅
深圳餐厅|白石洲|海鲜,9.0,8.0,拾鲜－海鲜蒸汽火锅,准五星商户,119,7.5,113.9691,228条评论,23671259,白石洲沙河街沙河工业区20栋1楼(江南百货北，冯氏牛将军百姓火锅城内),22.54578,回头客(5)|海鲜棒(6)|肉类好(3)|味道赞(29)|菜品不错(6)|分量足(4)|价格实惠(18)|服务热情(32)|现做现卖(3)|江河湖海鲜(109),10：00~23：00
深圳餐厅|西丽|火锅|四川火锅,8.8,8.8,源杨记串串香(西丽店),准五星商户,67,9.1,113.947841,93条评论,66497743,石鼓路鼎胜金域世家首层(环中线西丽站F出口西行200米然后右拐),22.582176,回头客(5)|菜品不错(4)|味道赞(13)|环境优雅(12)|服务热情(22)|价格实惠(3)|火锅(8),尚无营业时间
深圳餐厅|南油|火锅,9.0,9.0,优客香鹅掌(南山总店),五星商户,74,8.8,113.923139,849条评论,21107975,南山大道南海大厦(近中油大厦),22.519945,回头客(46)|有表演(4)|上菜快(4)|肉类好(8)|分量足(41)|饮品赞(4)|味道赞(180)|菜品不错(24)|环境优雅(68)|服务热情(282),10:00-22:00 周一至周日
深圳餐厅|西丽|火锅,9.0,8.7,园闰椰子鸡(总店),准五星商户,86,8.7,113.953752,887条评论,17924338,西丽同沙路新围村中泰楼一楼(深职院东校区南门斜对面，中泰宾馆旁边),22.583896,回头客(60)|上菜快(8)|约会圣地(5)|肉类好(33)|味道赞(142)|环境优雅(51)|菜品不错(10)|服务热情(97)|性价比高(37),11:00-22:30
深圳餐厅|西丽|火锅|牛肉火锅,8.6,8.1,陈喜记潮汕牛肉火锅(西丽店),准五星商户,80,7.7,113.961446,288条评论,41681467,留仙大道创客美食汇18栋1楼4号铺(大学城地铁站B出口),22.580487,回头客(17)|上菜快(3)|牛肉赞(33)|分量足(7)|味道赞(36)|菜品不错(3)|停车方便(5)|服务热情(25)|价格实惠(8)|性价比高(5),午市，晚市 11:00-22:00 周一至周日
深圳餐厅|白石洲|东北菜,8.5,8.1,东北新农村铁锅炖,准五星商户,55,8.2,113.972891,28条评论,69618424,沙河街道白石路京基百纳广场武警基地8号院,22.530748,,10:30-23:00 周一至周日
深圳餐厅|白石洲|火锅,8.8,8.4,四季椰林椰子鸡(南山店),准五星商户,108,8.9,113.968606,1403条评论,22689558,白石路京基百纳广场3层01A铺,22.531217,回头客(91)|约会圣地(6)|肉类好(35)|味道赞(232)|环境优雅(118)|菜品不错(28)|服务热情(166)|朋友聚餐(7)|闺蜜聚会(4),10:00-22:30
深圳餐厅|南头|海鲜,9.0,8.8,海大大 蒸汽海鲜主题餐厅,准五星商户,182,8.6,113.9201,484条评论,27009507,金鸡路34号四季丽晶大厦二楼(南新路欢乐颂麦当劳旁),22.53414,回头客(12)|海鲜棒(22)|肉类好(5)|味道赞(41)|环境优雅(35)|服务热情(68)|菜品不错(8)|性价比高(30)|体验好(15)|请客(3),11:00——24:00
深圳餐厅|南头|火锅|牛肉火锅,8.8,9.1,大埕润记潮味牛肉店,五星商户,65,9.1,113.923857,74条评论,67231411,南头街大新路308号(中山公园东门斜对面南头派出所南侧200米),22.548209,回头客(4)|牛肉赞(9)|味道赞(14)|环境优雅(9)|服务热情(16)|体验好(4)|性价比高(3)|朋友聚餐(3)|椰子鸡(7)|火锅(4),尚无营业时间
深圳餐厅|南山区|火锅|牛肉火锅,8.7,8.6,原牛道牛肉火锅(A8音乐大厦店),准五星商户,114,9.1,113.938813,228条评论,66109240,粤海街道高新科技园科园路1002号A8音乐大厦101(猫屎咖啡往停车场入口方向),22.52232,回头客(9)|牛肉赞(24)|高大上(5)|环境优雅(40)|味道赞(26)|服务热情(29)|菜品不错(3)|性价比高(8)|体验好(6)|火锅(22),晚市 17:30-21:30 周一至周日;午市 11:30-14:30 周一至周日
深圳餐厅|南山中心区|自助餐,8.3,8.4,海仙会SEA FRESH海鲜姿造,四星商户,413,8.9,113.933826,1442条评论,27139871,文心三路9号中洲控股大厦B座裙楼二楼,22.517856,回头客(51)|约会圣地(5)|上菜快(5)|海鲜棒(52)|高大上(43)|点心好(12)|菜品不错(51)|朋友聚餐(15)|现做现卖(11)|请客(8),12:00-21:30 周一至周日
